"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1088801.89642971,-2120720.18364542,2013-11-12 02:40:00,"MET.K10",35,35
1088793.94959462,-2120803.31460962,2013-11-12 03:39:00,"MET.K10",35,35
1088791.67414971,-2120764.32853961,2013-11-12 04:39:00,"MET.K10",35,35
1088797.35510964,-2120256.78559034,2013-11-12 08:40:00,"MET.K10",42,42
1088791.83854898,-2120264.02138603,2013-11-12 09:40:00,"MET.K10",44,44
1088858.26866817,-2120720.13550591,2013-11-12 10:41:00,"MET.K10",36,36
1088924.53116043,-2120961.29647648,2013-11-12 11:40:00,"MET.K10",38,38
1088788.56987622,-2120751.25769678,2013-11-17 10:40:00,"MET.K10",35,35
1088797.48699943,-2120747.83759284,2013-11-17 11:39:00,"MET.K10",35,35
1088855.41604704,-2120479.1523367,2013-11-17 12:40:00,"MET.K10",34,34
1088822.30256456,-2120743.07322917,2013-11-17 13:40:00,"MET.K10",35,35
1088996.47888746,-2120529.99560717,2013-11-17 14:39:00,"MET.K10",35,35
1088784.93211557,-2120754.8468575,2013-11-19 02:41:00,"MET.K10",35,35
1088805.65277621,-2120712.89152148,2013-11-19 03:41:00,"MET.K10",35,35
1088802.88493927,-2120744.30368693,2013-11-19 04:41:00,"MET.K10",35,35
1088797.13133761,-2120758.94426239,2013-11-19 05:41:00,"MET.K10",35,35
1088836.66619649,-2121284.61187955,2013-11-19 09:41:00,"MET.K10",23,23
1088783.23122936,-2120752.94012413,2013-11-19 10:41:00,"MET.K10",35,35
1088759.89858395,-2120711.42643074,2013-11-19 11:41:00,"MET.K10",34,34
1088805.57530323,-2120770.33272112,2013-11-19 12:41:00,"MET.K10",35,35
1088929.87142691,-2121124.53319234,2013-11-19 13:41:00,"MET.K10",40,40
1088912.23417349,-2121070.23002879,2013-11-19 14:42:00,"MET.K10",40,40
1102053.10853122,-2116658.50198517,2013-11-21 20:04:00,"MET.K10",34,34
1102161.83710827,-2116675.02878281,2013-11-21 21:04:00,"MET.K10",33,33
1123175.40078089,-2112293.61019051,2013-11-23 18:53:00,"MET.K10",26,26
1123829.09836576,-2112258.19891863,2013-11-23 19:52:00,"MET.K10",32,32
1126184.10676711,-2107967.67180863,2013-11-26 00:52:00,"MET.K10",21,21
1119080.45185426,-2099575.35073742,2013-11-26 16:52:00,"MET.K10",41,41
1119027.26543533,-2099582.84997989,2013-11-27 05:52:00,"MET.K10",39,39
1118959.62161846,-2099441.55697265,2013-11-29 17:46:00,"MET.K10",39,39
1110674.23084493,-2094535.42234982,2013-11-29 21:48:00,"MET.K10",21,21
1102442.29195408,-2105419.24541635,2013-12-01 10:02:00,"MET.K10",44,44
1102143.35249698,-2105555.94758281,2013-12-01 11:02:00,"MET.K10",46,46
1102087.04229492,-2105552.26432975,2013-12-01 12:01:00,"MET.K10",45,45
1088326.57666187,-2087477.87111719,2013-12-06 18:29:00,"MET.K10",24,24
1088722.91343401,-2086940.02693905,2013-12-06 19:28:00,"MET.K10",27,27
1087382.47899205,-2086972.00790674,2013-12-08 16:30:00,"MET.K10",28,28
1087683.37287524,-2086325.53738506,2013-12-08 17:31:00,"MET.K10",32,32
1087792.87225955,-2086547.61622012,2013-12-08 18:30:00,"MET.K10",32,32
1087208.5912982,-2086158.69779066,2013-12-08 19:30:00,"MET.K10",28,28
1087449.05805352,-2085806.78704793,2013-12-08 20:32:00,"MET.K10",25,25
1087600.95302921,-2085746.70315584,2013-12-08 21:30:00,"MET.K10",22,22
1087583.78765693,-2085731.3416853,2013-12-08 22:33:00,"MET.K10",22,22
1087651.98614283,-2085807.59806946,2013-12-09 00:40:00,"MET.K10",21,21
1087731.96435296,-2085789.72664048,2013-12-09 01:40:00,"MET.K10",22,22
1087811.65215336,-2085781.11154671,2013-12-09 02:39:00,"MET.K10",22,22
1087816.61223364,-2085847.97115634,2013-12-09 04:40:00,"MET.K10",24,24
1087790.0104048,-2086076.8938175,2013-12-09 05:40:00,"MET.K10",26,26
